yarn run v1.22.22
$ node src PS-5918
[MONGODB CONNECTED]
zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
671fe6d529daf8073431e448,00100000801,00100000801,00100000805,00100000805
671fe6d629daf8073431e63a,00000000889,00000000889,00000000908,00000000908
671fe6d629daf8073431e66f,00000000950,00000000950,00000000961,00000000961
671fe6d829daf8073431e878,00000013883,00000013881,00000013932,00000013930
671fe6da29daf8073431eb8d,00100011533,00100011533,00100011562,00100011562
671fe6dd29daf8073431ef22,00000018247,00000018237,00000018326,00000018316
671fe6e029daf8073431f2f8,00500011230,00500011229,00500011292,00500011291
671fe6e729daf8073431f8ac,00100012295,00100012295,00100012331,00100012331
671fe6e729daf8073431f8cf,00100012504,00100012504,00100012511,00100012511
671fe6e829daf8073431f989,00000019218,00000019217,00000019283,00000019282
671fe6e829daf8073431f99d,00000019301,00000019300,00000019387,00000019386
671fe6eb29daf8073431fe34,00100003864,00100003864,00100003885,00100003885
671fe6eb29daf8073431fe45,00100003899,00100003899,00100003928,00100003928
671fe6eb29daf8073431fe68,00100003950,00100003950,00100004006,00100004006
671fe6ed29daf80734320068,00000000878,00000000877,00000000890,00000000889
671fe6ed29daf80734320078,00000000892,00000000891,00000000923,00000000921
671fe6ed29daf80734320088,00000000925,00000000923,00000000955,00000000953
671fe6f029daf80734320452,00000002192,00000002192,00000002238,00000002238
671fe6f029daf80734320465,00000002240,00000002240,00000002279,00000002279
671fe6f229daf80734320673,00000062916,00000062912,00000062990,00000062986
6721985e6aa3b66f97ec6613,00000040248,00000040046,00000040295,00000040093
671fe6fb29daf80734321049,00100000826,00100000826,00100000828,00100000828
671fe6fe29daf80734321365,00800007829,00800007824,00800007960,00800007955
671fe6fe29daf8073432138e,00800008128,00800008123,00800008295,00800008290
671fe6fe29daf807343213a2,00800008297,00800008292,00800008423,00800008418
671fe70129daf807343215f9,00000006318,00000006318,00000006351,00000006351
671fe70129daf80734321619,00000006357,00000006357,00000006386,00000006386
671fe70829daf80734321d84,00100084653,00100086708,00100084662,00100086717
done
Done in 1.88s.
