business,storeId,registerId,zreadingId,startTrxNumber,startORNumber,endTrxNumber,endORNumber
eraya,66fb950cbed9ca00074c5d04,66fb950cbed9ca00074c5d06,671fe68829daf80734319125,95,95,103,103
eraya,66fb950cbed9ca00074c5d04,66fb950cbed9ca00074c5d06,671fe68829daf80734319125,96,96,103,103
doonthaiandasianfusioncuisineinc,6544afed2b2d2c0007cff732,6544afed2b2d2c0007cff734,671fe68829daf80734319238,5609,5606,5639,5636
doonthaiandasianfusioncuisineinc,6544afed2b2d2c0007cff732,6544afed2b2d2c0007cff734,671fe68829daf80734319238,5610,5607,5639,5636
doonthaiandasianfusioncuisineinc,6544afed2b2d2c0007cff732,6544afed2b2d2c0007cff734,671fe68829daf80734319270,5701,5698,5721,5718
doonthaiandasianfusioncuisineinc,6544afed2b2d2c0007cff732,6544afed2b2d2c0007cff734,671fe68829daf80734319270,5708,5705,5721,5718
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf80734319496,4889,4888,4908,4907
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf80734319496,4893,4892,4908,4907
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194a7,4909,4908,4923,4922
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194a7,4910,4909,4923,4922
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194b8,4924,4923,4959,4958
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194b8,4948,4947,4959,4958
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194e5,4960,4959,4978,4977
opcfactoryoutletcaloocan,655afb06c8cc0c0007cd0bba,655c1eb81b5cf50007e92252,671fe68a29daf807343194e5,4967,4966,4978,4977
siargaocornercafe,65a6291ed59d4300076ecb1a,65a6291ed59d4300076ecb1c,671fe68c29daf807343196d9,22393,22393,22533,22533
siargaocornercafe,65a6291ed59d4300076ecb1a,65a6291ed59d4300076ecb1c,671fe68c29daf807343196d9,22395,22395,22533,22533
Get lastZReadingCloseTime fail
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198c9,690,688,709,707
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198c9,696,694,709,707
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198dc,710,708,746,744
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198dc,711,709,746,744
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198ef,747,745,784,782
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe68f29daf807343198ef,775,773,784,782
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe69029daf80734319911,785,783,793,791
tambayenterprises,66431818bf50020007ee3c41,66431818bf50020007ee3c43,671fe69029daf80734319911,788,786,793,791
oldtimesph,66445ef6939e3000078e3636,66445ef6939e3000078e3698,671fe69129daf80734319af0,635,629,652,646
oldtimesph,66445ef6939e3000078e3636,66445ef6939e3000078e3698,671fe69129daf80734319af0,636,630,652,646
oldtimesph,66445ef6939e3000078e3636,66445ef6939e3000078e3698,671fe69129daf80734319b02,653,647,668,662
oldtimesph,66445ef6939e3000078e3636,66445ef6939e3000078e3698,671fe69129daf80734319b02,660,654,668,662
bolero,64e6cd784051a7000704b307,64e6cd784051a7000704b30b,671fe69329daf80734319e03,16138,16137,16172,16171
bolero,64e6cd784051a7000704b307,64e6cd784051a7000704b30b,671fe69329daf80734319e03,16140,16139,16172,16171
bolero,64e6cd784051a7000704b307,64e6cd784051a7000704b30b,671fe69329daf80734319e15,16173,16172,16234,16233
bolero,64e6cd784051a7000704b307,64e6cd784051a7000704b30b,671fe69329daf80734319e15,16186,16185,16234,16233
beachhousebarandgrill,6464adf103dc5f0007b24cbb,6464adf103dc5f0007b24cbd,671fe6a929daf8073431b503,5198,5198,5212,5212
beachhousebarandgrill,6464adf103dc5f0007b24cbb,6464adf103dc5f0007b24cbd,671fe6a929daf8073431b503,5207,5207,5212,5212
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6cd,10318,10307,10365,10354
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6cd,10319,10308,10365,10354
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6dd,10366,10355,10431,10420
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6dd,10370,10359,10431,10420
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6ed,10432,10421,10498,10487
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6ed,10448,10437,10498,10487
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6fc,10499,10488,10520,10509
calalaiya,653a09ddf1fb72000780c020,653a09ddf1fb72000780c022,671fe6ab29daf8073431b6fc,10500,10489,10520,10509
sagecafe,659bc444385ad70007ea5da4,659bc444385ad70007ea5da6,6721985b6aa3b66f97ec6365,5624,5624,5639,5639
sagecafe,659bc444385ad70007ea5da4,659bc444385ad70007ea5da6,6721985b6aa3b66f97ec6365,5638,5638,5639,5639
caferoomnl,64faec350fe53b0006d89560,64faec350fe53b0006d89562,671fe6ad29daf8073431b95e,21294,21294,21357,21357
caferoomnl,64faec350fe53b0006d89560,64faec350fe53b0006d89562,671fe6ad29daf8073431b95e,21316,21316,21357,21357
edzrestaurant,653a32a44d84a700072cc794,653a32a44d84a700072cc797,671fe6ae29daf8073431bb1c,16869,16869,17001,17001
edzrestaurant,653a32a44d84a700072cc794,653a32a44d84a700072cc797,671fe6ae29daf8073431bb1c,16871,16871,17001,17001
edzrestaurant,653a32a44d84a700072cc794,653a32a44d84a700072cc797,671fe6af29daf8073431bb40,17083,17083,17139,17139
edzrestaurant,653a32a44d84a700072cc794,653a32a44d84a700072cc797,671fe6af29daf8073431bb40,17085,17085,17139,17139
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bd20,86,86,103,103
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bd20,92,92,103,103
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bd7b,195,195,207,207
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bd7b,200,200,207,207
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bda8,236,236,255,255
bosongcoffee,668c9764812bcf0007127d39,668c9764812bcf0007127d3b,671fe6b129daf8073431bda8,237,237,255,255
lydiaslechonquezoncityinc,665d51c2e1c4180007308deb,665eece434ac6a0006020231,671fe6b429daf8073431c005,8764,8763,8849,8848
lydiaslechonquezoncityinc,665d51c2e1c4180007308deb,665eece434ac6a0006020231,671fe6b429daf8073431c005,8765,8764,8849,8848
cafebasilico,65b85beb0661ad000771586a,65b85beb0661ad000771586c,671fe6b629daf8073431c2a2,3182,3176,3194,3188
cafebasilico,65b85beb0661ad000771586a,65b85beb0661ad000771586c,671fe6b629daf8073431c2a2,3184,3178,3194,3188
oliviasfusion,63984e51bdbacd000896229c,63984e51bdbacd000896229f,671fe6b829daf8073431c4a9,1397,1397,1423,1423
oliviasfusion,63984e51bdbacd000896229c,63984e51bdbacd000896229f,671fe6b829daf8073431c4a9,1398,1398,1423,1423
alcbistro,63db10fd0b9af800089985ab,63db10fd0b9af800089985ad,671fe6bf29daf8073431c8b7,5736,5736,5749,5749
alcbistro,63db10fd0b9af800089985ab,63db10fd0b9af800089985ad,671fe6bf29daf8073431c8b7,5737,5737,5749,5749
bellaciaonaga,6620866cc87609000781e0f3,6620866cc87609000781e0f5,671fe6c629daf8073431d1f1,2985,2984,3006,3005
bellaciaonaga,6620866cc87609000781e0f3,6620866cc87609000781e0f5,671fe6c629daf8073431d1f1,2986,2985,3006,3005
