business,registerId,transactionId,receiptNumber,preOrderId,ErrorType,ShiftId1,ShiftId2
wellbainc,65814e19387a280007830289,c0cff074-000d-4065-8620-53c4462ad603,00000000084,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,742dfe13-6a34-4243-909b-f277da4913a9,00000013240,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,091c7942-0325-4f5a-a706-6044493d596d,00000013285,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,959bf1bd-2a41-47af-8063-1e690d8f8b84,00000013281,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,6c3ec274-c7db-4c8c-8d5a-e421c0ace0cb,00000013284,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,fcff6c86-57a3-4eaa-8d31-2668b6c8f7f5,00000013282,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,0033cf34-758d-42c0-9d16-999c796e9097,00000013283,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,bbdc17c1-d9c2-430f-a123-bb73106673b3,00000013351,,,,
iveganrestaurantinc,64c34b1ed10bc8000736b07b,5ae4933a-08e5-4e7b-90f6-b21f692e5663,00000013352,,,,
carmelossteakhouse,6569519da187b500072c0033,7b1ee158-579e-4b91-a10d-2de323da4ef9,00000001260,,,,
carmelossteakhouse,6569519da187b500072c0033,39bd8968-29d8-4e43-bb9b-65d830636656,00000001261,,,,
introlounge,64b4d6e7a2827e00074a1774,920816d4-4c61-4268-ae42-757af0601998,00000051238,,,,
introlounge,64b4d6e7a2827e00074a1774,67e58be2-9880-4c1a-9cc8-11d730feb2e0,00000051237,,,,
hillbarnrestaurant,6283db45a138000007813dd8,41e946aa-87be-49e8-b8d6-7e5d236cdada,00000032445,,,,
famouscountrywaffle,65b76f036859a4000600bb12,14f886e0-87d8-4e8b-9bf7-cd4c3adcb3a8,00000027766,,,,
famouscountrywaffle,65b76f036859a4000600bb12,a419bc9b-383e-42b9-b12f-cafd08553d85,00000027765,,,,
famouscountrywaffle,65b76f036859a4000600bb12,da2d3ba3-6aff-408a-bd08-2d241a264892,00000027762,,,,
famouscountrywaffle,65b76f036859a4000600bb12,73872291-9bcf-404a-b4f0-9edfad7c557d,00000027764,,,,
famouscountrywaffle,65b76f036859a4000600bb12,6c4e5b97-5d20-4713-8561-dfc50fe2d60d,00000027763,,,,
famouscountrywaffle,65b76f036859a4000600bb12,c9f4bc41-296e-40a8-a7cb-6c05cdfe0fc8,00000027771,,,,
famouscountrywaffle,65b76f036859a4000600bb12,4125a905-6912-42fc-985b-f3ef9c453707,00000027761,,,,
famouscountrywaffle,65b76f036859a4000600bb12,9a55f9bd-29e2-4e2d-8ec8-e47662e51247,00000027770,,,,
famouscountrywaffle,65b76f036859a4000600bb12,e0cefe76-36c4-4482-a20e-e15e1ae344b4,00000027773,,,,
famouscountrywaffle,65b76f036859a4000600bb12,a147cf87-1c60-4af6-a6f6-8fd4508f5652,00000027772,,,,
famouscountrywaffle,65b76f036859a4000600bb12,286d8caf-fcad-4db9-a898-a9e8ed034f94,00000027767,,,,
famouscountrywaffle,65b76f036859a4000600bb12,1fb51fa9-1459-4bc6-86b0-b5e5eca1985f,00000027720,,,,
famouscountrywaffle,65b76f036859a4000600bb12,ddbccea7-5556-4e48-8b37-40c1e461e5b0,00000027721,,,,
famouscountrywaffle,65b76f036859a4000600bb12,c22a107c-6e37-41a3-9905-00dabd48a671,00000027829,,,,
famouscountrywaffle,65b76f036859a4000600bb12,572ed8c3-a930-4062-a1fb-5945913d36ae,00000027869,,,,
famouscountrywaffle,65b76f036859a4000600bb12,d7a1ecda-7c23-46f5-b7c8-ae8a1709aa6d,00000027870,,,,
theabacagroup,647eea07e1a17f0009e9d1cf,86c69384-0136-4890-9ead-d3439e3498a5,01500024514,,,,
theabacagroup,647eea07e1a17f0009e9d1cf,932ef501-1aff-4c5d-84b4-bca337acae84,01500024513,,,,
