business,receiptNumber,storeId,registerId,modifiedTime,createdTime,isCancelled,transactionId,preOrderId
drwinebgccorp,00000157565,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-27T21:10:36.932Z,2024-09-27T20:04:45.668Z,false,b620ed93-10db-4bf5-9546-5c03f5b5457d,
drwinebgccorp,00000158187,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-30T05:22:42.505Z,2024-09-28T11:26:53.687Z,false,72c08be5-c071-4ddb-b522-aaf83d3e1d5a,
drwinebgccorp,00000158175,62a2fc88246bfe0009b14d9d,62a2fc88246bfe0009b14d9e,2024-09-29T19:30:39.323Z,2024-09-29T18:09:02.446Z,false,c7c2d06f-e42c-404b-9720-c32322c1f771,
krapow2020,00100043148,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-28T13:52:55.355Z,2024-09-28T12:43:13.735Z,false,7c1f863f-0f9e-4168-b219-ee2c9dd3b1ec,
krapow2020,00100043152,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-28T14:19:24.283Z,2024-09-28T13:12:00.542Z,false,aa367a1f-75b3-42f8-b421-5966b67e8d99,
krapow2020,00100043151,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-28T14:16:12.895Z,2024-09-28T13:14:43.341Z,false,c2ab1d5e-d963-4051-868e-9cc3f690da6f,
krapow2020,00100043149,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-28T14:04:07.365Z,2024-09-28T13:18:03.878Z,false,d7c3946a-b53a-42a9-a75b-5148eda2c43a,
krapow2020,00100043150,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-28T14:06:01.638Z,2024-09-28T13:27:44.001Z,false,1c9857c2-e719-4cea-a2e5-122590429536,
krapow2020,00100043206,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-29T14:09:27.063Z,2024-09-29T13:18:21.117Z,false,4bf45ad0-a454-4c33-9b7a-14f5af9a140c,
krapow2020,00100043205,62d5302bf4d00c0006b38d6d,62d67bb669a7e600082e45a8,2024-09-29T13:49:10.240Z,2024-09-29T13:25:48.013Z,false,fee615dd-1ef1-4a5c-a724-324fa7586a4d,
kimpana,00100006983,6332497e810aed0006b72106,639fcc938406540008fafc8d,2024-09-30T00:14:40.357Z,2024-09-29T11:51:33.689Z,false,24e4e7bb-1c22-4841-8109-86113d3f2e5e,
abrahambohol,00000006177,651a55cd0887a30007208aea,651a55cd0887a30007208aec,2024-09-30T00:45:59.632Z,2024-09-29T12:30:05.800Z,false,2a43cefd-abf9-4a6e-824e-15b381b22489,
locavore-greenhills,00000007924,65e66c376863dc0007e268ce,65e66c376863dc0007e268d0,2024-10-09T13:08:05.974Z,2024-10-09T10:25:57.124Z,false,bb8baf72-e6e1-4dae-a9fe-22fe22d8ff64,
locavore-greenhills,00000007925,65e66c376863dc0007e268ce,65e66c376863dc0007e268d0,2024-10-09T13:21:41.146Z,2024-10-09T10:38:13.647Z,false,ea3bcc2d-83fc-4083-91f2-b1d5f993fa11,
lingnamcaloocan,00100016368,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,2024-09-28T14:15:44.221Z,2024-09-28T13:13:26.567Z,false,acb700a4-08a6-4b2b-8544-e8f9909cd6dd,
lingnamcaloocan,00100016369,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,2024-09-28T14:29:13.114Z,2024-09-28T13:22:35.358Z,false,c0518817-bb6e-4567-9437-4e9e5d22212f,
lingnamcaloocan,00100016415,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,2024-09-29T13:34:24.166Z,2024-09-29T12:43:24.299Z,false,ccc15f2f-e41a-4bae-9872-3c7379c16a3d,
lingnamcaloocan,00100016417,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,2024-09-29T13:53:08.062Z,2024-09-29T12:49:25.915Z,false,ba624c98-072b-4247-8867-f94b841a1280,
lingnamcaloocan,00100016416,655abd8f4fa62d000705af88,656d606ee1d7560007299b0e,2024-09-29T13:35:55.257Z,2024-09-29T13:21:34.406Z,false,32e2e4fd-e585-4a96-ba7a-21e5b6192c3c,
legaleatiesfoodinc,00000030969,64fac70f96fa380007dc4a8f,64fac70f96fa380007dc4a92,2024-09-30T12:36:51.670Z,2024-09-30T12:35:48.597Z,false,91b2880b-a242-4d9c-8c0a-152662dba318,
lerevepatisserie,00000012001,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,2024-09-27T12:45:04.116Z,2024-09-27T10:44:50.423Z,false,e2b5d814-4f18-4ddc-9b30-5d4d42d3384e,
lerevepatisserie,00000012013,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,2024-09-28T13:43:51.460Z,2024-09-28T10:47:53.290Z,false,5dc5c656-1ac0-44d3-bded-8338833ed50d,
lerevepatisserie,00000012012,5e4b6dc364518c1707ee44d4,5e4b6dc364518c1707ee44d5,2024-09-28T13:06:00.982Z,2024-09-28T12:03:38.539Z,false,73c048e1-224e-41f8-8571-a036a40c999a,
