"business","registerid","storeid"
nebacoffee,"65af26440b401f00071420ef","65af26440b401f00071420ed"
toriiteppanyaki,"63510c98da13950007bca7d7","63510c4f0c9ecd000725673e"
legaleatiesfoodinc,"64fac70f96fa380007dc4a92","64fac70f96fa380007dc4a8f"
donnabistro,"6357967d60bb3d0008ef2a71","6357967d60bb3d0008ef2a6f"
toriiteppanyaki,"5fd9c9640439930006cad36c","5fd9c9180439930006cac92a"
imiz,"65a5f9d88f35cd0006595672","65a5f9d88f35cd0006595670"
citaasasi,"65ae6d3b55d1b80007b18cc4","65ae6d3b55d1b80007b18cc2"
lubookawah,"648bd4d19a759d00098b6931","648bd4d19a759d00098b692f"
littlechennaidarbar,"6412896e37adf300073fca78","6412896e37adf300073fca76"
dapurchilli123,"636484ddf9198700077c5aa5","636484ddf9198700077c5a9e"
khanbaba,"6433af9bceee4c0007f37660","6433af9bceee4c0007f3765e"
thg,"6541c2b1ae467a0007754f5c","654061486b27550007d1f150"
superkitchen,"62a2ffbb77a9ed0007960e92","62a6d3f03157aa00088cc310"
fuu_soufflepancake,"5e5a1050937e8f050a499538","5e5a1050937e8f050a499537"
starwaz,"654dfa2e3a440b0007775755","654cddbeb0458e0007272894"
puzzleplanet,"62ff0916b39388000792c004","62ff0464055c3b0007835edd"
juhacafe,"66c6def886176d0007ab9c8d","66c6def886176d0007ab9c8b"
tinyboutiquecafe,"62e62a61b62b1700084e7c55","62e62a61b62b1700084e7c54"
lerevepatisserie,"5e4b6dc364518c1707ee44d5","5e4b6dc364518c1707ee44d4"
onamirestaurant,"606ac3639c3077000798fbd3","6076828713d21a000713ef1c"
vintry,"6628a1a8e17fbf00089a5ef1","660ea877c2cea90007d525b2"
jaotim,"59759defa317a51a0a6db805","59759defa317a51a0a6db804"
ruema,"654ba21ef1a8c8000786382c","654ba21ef1a8c8000786382a"
signaturebeefnoodles,"659babe5e03a770007c7a056","659bab718d81be0007ea6a27"
dosage,"65aa0fe3ec21e600077caacf","64b18cf0d4ce2b0008b26b71"
ombokcafe,"5ab336eef8661d3abad3c34f","5ab336eef8661d3abad3c34e"
thegardenvape,"614443626df10700078d67fd","60ab752272e98c0006532739"
anikaislandresort,"650126a47124ed0007684f30","650126a47124ed0007684f2e"
yongpinsdnbhd,"62256a633a22eb000837c092","62256a633a22eb000837c091"
octanemy,"61d404fc133a46000613578a","61d404fc133a460006135789"
ahmakitchen,"5be3e36029113b12d50d6904","5be3e36029113b12d50d6903"
foodfashionjbdinner,"65e57f00f9fd0f00067932c3","65e57f00f9fd0f00067932c1"
mamanorytf,"60a4a556448be10006713c92","60a4a556448be10006713c91"
ls42,"660a794fa791ae0007927204","5f8eb13884958d0006d01a97"
thecantinausj,"5ad04d3eee2c7a0d1e81a310","5ad04d3eee2c7a0d1e81a30f"
bokkoreanfriedchicken,"6357a40cad17f70007f5053c","6357b620694d640009cee8c3"
animalwellness,"6513c85804af4e000799a2ad","64da24544d14bd000747b594"
land2propertiesinc,"62834c329869a5000881b4f4","62834c319869a5000881b4e3"
preyakorn,"65cc91442f3d120007cda7e6","65cc91442f3d120007cda7e4"
libertysportsbar,"65f904225af44e0007f93300","65f904225af44e0007f932fb"
mutiaracafe,"6655558c800db60007f21a54","6655558c800db60007f21a52"
mcicerecipe,"642e28ca7050740008b6c3b3","642e28ca7050740008b6c3b1"
kitacoffeemy,"636b94e6d4d682000741b4f7","636b94e6d4d682000741b4f5"
bhaibiryani,"63082ef196c1d00008c70425","63082ef196c1d00008c70423"
sixlangkawi,"656d9f3383fee3000740896a","656d9f3383fee30007408968"
infinitirestaurantandbar,"65574b211b5cf50007710097","65574b211b5cf50007710095"
tmusj10,"65686bed7734b50007903757","65686b455411c200065c6ba8"
pawdylicious,"6566f24ceb5a24000735d61e","655ec47076273000070e1b30"
kaarasaaram,"643cf0fe82f7fc00086a96e4","643cef7a88d9a80007e8d649"
seltsam,"5ff31a2d9c11330006dbab46","5ff31a2d9c11330006dbab45"
